User_ID,Product_ID,Age,Gender,Marital_Status,City_Category,Stay_In_Current_City_Years,Product_Category,Product_Subcategory_1,Product_Subcategory_2,Purchase
1044096,P00017122,46-50,F,1,B,1,10,45.0,,1810
1071818,P00074517,36-45,M,0,A,3,11,27.0,,12351
1022986,P00013694,36-45,M,1,A,5+,4,28.0,,127
1094684,P00049122,36-45,M,1,A,1,16,9.0,8.0,2214
1004157,P00006469,46-50,M,1,A,5+,3,,,7142
1047008,P00024740,18-25,M,0,A,2,5,16.0,,353
1056762,P00067925,46-50,F,1,B,5+,17,24.0,16.0,117
1047329,P00003426,36-45,F,1,B,1,16,,,447
1042051,P00074117,46-50,F,1,B,5+,11,20.0,,7831
1032071,P00039594,51-55,F,1,B,4,3,,,704
1072568,P00066948,55+,F,1,C,2,5,36.0,,99
1074295,P00080577,51-55,F,1,C,2,17,40.0,5.0,232
1048919,P00017863,46-50,M,1,A,5+,10,,11.0,2392
1027784,P00036068,51-55,F,1,B,5+,16,25.0,,1526
1062032,P00053024,51-55,F,1,C,3,16,30.0,,62
1077785,P00037226,36-45,M,0,A,4,10,35.0,,1708
1021379,P00045216,26-35,M,0,B,2,17,12.0,17.0,120
1007401,P00032125,55+,F,1,C,4,1,,10.0,7401
1091869,P00016119,26-35,M,0,A,4,3,22.0,,14440
1093278,P00013981,51-55,F,1,B,3,17,25.0,11.0,1351
1003631,P00062668,51-55,F,1,B,3,17,30.0,,323
1078484,P00050272,46-50,F,1,B,3,16,40.0,,565
1062696,P00036296,55+,F,1,C,4,10,4.0,,555
1055098,P00044362,55+,F,1,C,5+,11,30.0,16.0,11200
1014904,P00041041,55+,F,1,C,1,4,32.0,,426
1041685,P00043051,46-50,M,1,B,3,16,39.0,11.0,2216
1011906,P00091846,36-45,M,0,A,5+,19,21.0,,14550
1072890,P00011660,51-55,F,1,C,2,10,12.0,,462
1017796,P00048097,55+,F,1,C,5+,18,,,28940
1061073,P00017097,51-55,F,1,C,5+,6,42.0,11.0,10408
1093022,P00070476,26-35,M,0,A,5+,3,,,26670
1058607,P00027196,51-55,F,1,B,4,5,6.0,,338
1025815,P00080538,46-50,F,1,B,1,16,20.0,18.0,591
1001945,P00003708,26-35,M,0,A,4,2,24.0,,2038
1029536,P00019538,26-35,M,0,A,3,10,6.0,,315
1015127,P00043352,51-55,F,1,C,1,1,28.0,,6458
1076567,P00093027,26-35,M,0,A,3,3,13.0,11.0,17690
1027363,P00074593,36-45,M,0,A,2,1,42.0,,4746
1060540,P00003913,0-17,M,0,A,3,4,30.0,,428
1015803,P00038249,26-35,M,0,B,1,13,11.0,,17180
1044365,P00055611,0-17,M,0,A,2,5,,13.0,382
1007401,P00034704,55+,F,1,C,4,9,40.0,14.0,7144
1020503,P00093806,55+,F,1,C,3,17,27.0,,1825
1050289,P00034573,36-45,M,1,A,4,18,42.0,,20440
1079610,P00000238,51-55,F,1,C,5+,6,10.0,17.0,10712
1084732,P00028267,55+,F,1,C,4,12,14.0,,6918
1062959,P00021034,36-45,M,0,A,3,12,10.0,,11500
1015727,P00056515,55+,F,1,C,1,1,42.0,19.0,5868
1050440,P00093027,36-45,M,1,A,1,3,13.0,11.0,17690
1082545,P00071843,26-35,M,0,A,5+,20,11.0,13.0,26950
1093895,P00026245,51-55,F,1,C,2,1,35.0,19.0,5544
1014904,P00099239,55+,F,1,C,1,15,20.0,,287
1030768,P00023333,51-55,F,1,C,2,18,35.0,10.0,25460
1058710,P00044517,51-55,F,1,B,5+,12,14.0,11.0,8896
1097043,P00090982,26-35,M,0,A,1,11,14.0,9.0,6586
1018596,P00054250,51-55,F,1,C,5+,4,24.0,,297
1096315,P00083181,55+,F,1,C,2,3,36.0,20.0,2601
1057674,P00029768,51-55,F,1,C,4,8,36.0,,6774
1051229,P00045432,46-50,M,1,B,5+,14,45.0,,4380
1098047,P00031665,26-35,M,0,A,2,17,30.0,,176
1009959,P00062911,51-55,F,1,C,2,10,36.0,,1396
1080811,P00052179,0-17,M,0,A,1,5,18.0,,272
1052209,P00033397,26-35,M,0,B,1,20,24.0,,23080
1000304,P00090602,46-50,M,1,B,5+,19,,,26000
1012990,P00000809,55+,F,1,C,2,9,7.0,,8092
1072202,P00086060,18-25,M,0,A,1,11,21.0,,8050
1029718,P00035438,0-17,M,0,A,1,13,28.0,10.0,15700
1008525,P00080312,55+,F,1,C,4,11,40.0,14.0,4667
1004434,P00064892,36-45,F,1,B,2,17,,17.0,303
1062081,P00055038,46-50,F,1,B,3,3,,11.0,25410
1036521,P00050310,55+,F,1,C,5+,1,27.0,16.0,6780
1023422,P00091846,36-45,M,0,B,1,19,21.0,,14550
1057851,P00075833,46-50,F,1,B,2,14,,,4813
1051983,P00018730,0-17,M,0,A,1,16,18.0,,103
1059149,P00045019,51-55,F,1,C,3,17,32.0,12.0,234
1029536,P00089742,26-35,M,0,A,3,2,25.0,19.0,899
1067463,P00026645,46-50,M,1,A,2,17,39.0,,2098
1012269,P00017721,46-50,F,1,B,2,16,,13.0,139
1090013,P00079375,46-50,F,1,B,4,7,10.0,6.0,10702
1096185,P00087033,26-35,M,0,A,1,13,13.0,9.0,16810
1058164,P00017097,26-35,M,0,A,5+,6,42.0,11.0,10408
1014457,P00081507,26-35,M,0,A,2,9,,19.0,11183
1076498,P00029215,36-45,M,0,A,5+,17,,,489
1047713,P00087911,26-35,M,0,A,1,4,30.0,15.0,133
1059646,P00026653,26-35,M,0,A,2,3,44.0,,17050
1083878,P00038305,51-55,F,1,C,4,1,36.0,,5874
1005415,P00018480,0-17,M,0,A,4,8,30.0,11.0,617
1035209,P00019514,55+,F,1,C,1,16,42.0,,130
1022034,P00014365,51-55,F,1,C,4,20,12.0,18.0,23900
1015808,P00059109,46-50,F,1,B,2,5,,11.0,365
1069556,P00056394,55+,F,1,C,5+,3,24.0,,2733
1056970,P00014178,26-35,M,0,A,1,15,20.0,,340
1080229,P00019006,55+,F,1,C,5+,16,6.0,,1436
1030318,P00098002,26-35,M,0,A,2,13,30.0,,21150
1004813,P00009330,18-25,M,0,A,1,9,14.0,,7505
1075399,P00039099,26-35,M,0,A,1,6,40.0,10.0,7956
1087519,P00065478,36-45,M,0,A,4,8,36.0,5.0,2573
1058711,P00030552,0-17,M,0,A,2,15,40.0,,533
1022524,P00016652,46-50,M,1,B,3,12,27.0,,4654
1077348,P00092156,26-35,M,0,A,1,20,7.0,7.0,23090
1092100,P00088875,51-55,F,1,B,3,7,21.0,,11629
1043470,P00089413,46-50,M,1,A,2,10,40.0,14.0,1828
1076983,P00004622,36-45,M,0,B,2,18,30.0,17.0,20030
1086817,P00041701,46-50,F,1,B,3,11,9.0,,6094
1091241,P00094639,55+,F,1,C,4,20,28.0,13.0,19460
1021175,P00062822,26-35,M,0,A,1,12,27.0,14.0,7362
1065822,P00060221,55+,F,1,C,2,4,32.0,,556
1057553,P00020771,55+,F,1,C,5+,8,3.0,,2805
1015803,P00036897,26-35,M,0,B,1,12,21.0,15.0,5340
1089253,P00084647,36-45,F,1,B,1,3,14.0,,3592
1046886,P00041831,26-35,M,0,A,2,18,28.0,12.0,13060
1030738,P00021040,55+,F,1,C,1,10,,,223
1025846,P00014993,46-50,F,1,B,3,3,26.0,,26830
1027054,P00000370,55+,F,1,C,5+,6,28.0,10.0,7523
1016990,P00008655,26-35,M,0,A,5+,13,26.0,,26520
1070869,P00049485,55+,F,1,C,3,11,14.0,15.0,7438
1089645,P00038058,26-35,M,0,A,4,7,,20.0,8105
1045415,P00056964,46-50,F,1,C,2,19,20.0,17.0,14790
1059685,P00023511,46-50,M,1,A,5+,1,,,4120
1061367,P00060834,55+,F,1,C,5+,8,10.0,,5936
1091076,P00051300,55+,F,1,C,2,4,40.0,6.0,589
1070206,P00012789,26-35,M,0,A,5+,11,10.0,20.0,6186
1008672,P00072685,51-55,F,1,B,3,4,30.0,5.0,243
1072830,P00087432,26-35,M,0,A,1,5,4.0,,356
1032549,P00067958,51-55,F,1,C,2,16,32.0,,593
1018995,P00009923,26-35,M,0,A,2,13,28.0,17.0,14490
1035827,P00019639,36-45,F,1,B,2,15,36.0,20.0,305
1098093,P00095328,26-35,M,0,A,1,13,44.0,,20490
1014964,P00012393,51-55,F,1,B,5+,17,,5.0,1455
1094325,P00006540,26-35,M,0,A,1,9,27.0,13.0,11877
1072462,P00018050,46-50,M,1,B,5+,4,44.0,,595
1091095,P00042843,36-45,F,1,B,4,17,30.0,,320
1035856,P00043389,26-35,M,0,A,2,18,10.0,12.0,24370
1087419,P00064069,36-45,M,1,A,1,13,,,23540
1026995,P00065331,46-50,F,1,B,3,17,27.0,,1047
1064693,P00071843,51-55,F,1,C,1,20,11.0,13.0,26950
1054629,P00007801,46-50,M,1,A,4,10,36.0,,352
1066464,P00034961,0-17,M,0,A,2,5,12.0,9.0,104
1044575,P00072425,55+,F,1,C,1,11,10.0,,8550
1017877,P00053342,46-50,M,1,B,1,12,10.0,16.0,9597
1026692,P00009447,51-55,F,1,C,1,2,3.0,18.0,2452
1035235,P00024443,18-25,M,0,A,2,4,,,514
1086212,P00090982,55+,F,1,C,4,11,14.0,9.0,6586
1076542,P00078433,46-50,M,1,A,5+,8,5.0,18.0,2320
1025718,P00052838,36-45,M,0,A,2,3,,7.0,29870
1008311,P00021096,55+,F,1,C,1,15,36.0,14.0,238
1080816,P00096620,46-50,M,1,A,5+,11,14.0,,5861
1064729,P00055340,36-45,M,1,A,5+,3,28.0,18.0,21620
1051143,P00095300,26-35,M,0,A,3,13,,,19360
1017560,P00069691,36-45,M,1,A,1,17,6.0,19.0,123
1004128,P00087805,26-35,M,0,B,1,11,42.0,,10300
1013121,P00010786,26-35,M,0,B,1,3,,10.0,2870
1056826,P00021202,0-17,M,0,A,1,16,20.0,,537
1063019,P00059127,26-35,M,0,A,4,4,44.0,,250
1010045,P00088732,51-55,F,1,B,1,9,,,8976
